GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X1_000001	scaffold_1:65267-67916	-	833	hypothetical protein		ENOG41											
X1_000002	scaffold_1:97922-99031	+	349	hypothetical protein													
X1_000003	scaffold_1:99502-102158	-	819	hypothetical protein													
X1_000004	scaffold_1:117948-121129	+	1023	hypothetical protein													
X1_000005	scaffold_1:121699-122317	-	205	hypothetical protein													
X1_000006	scaffold_1:123582-125310	+	575	hypothetical protein													
X1_000007	scaffold_1:125524-126112	-	195	hypothetical protein													
X1_000008	scaffold_1:232215-233310	+	364	hypothetical protein													
X1_000009	scaffold_1:234133-237466	+	796	hypothetical protein		ENOG41											
X1_000010	scaffold_1:237738-238424	+	192	hypothetical protein													
X1_000011	scaffold_1:242779-243221	-	129	hypothetical protein													
X1_000012	scaffold_1:267191-268827	+	197	hypothetical protein													
X1_000013	scaffold_1:299671-300385	-	237	hypothetical protein													
X1_000014	scaffold_1:306235-306783	+	164	hypothetical protein		ENOG41											
X1_000015	scaffold_1:306961-308116	-	329	hypothetical protein													
X1_000016	scaffold_1:308382-311797	+	813	hypothetical protein													
X1_000017	scaffold_1:311983-314482	-	720	Autophagy protein 7													
X1_000018	scaffold_1:314809-315810	+	299	hypothetical protein													
X1_000019	scaffold_1:316456-318207	+	549	hypothetical protein													
X1_000020	scaffold_1:319308-321403	+	628	hypothetical protein													
X1_000021	scaffold_1:322191-326161	-	1306	hypothetical protein													
X1_000022	scaffold_1:326854-328840	+	569	hypothetical protein													
X1_000023	scaffold_1:329172-330825	-	511	hypothetical protein													
X1_000024	scaffold_1:336237-337638	+	368	hypothetical protein													
X1_000025	scaffold_1:360613-361499	-	205	hypothetical protein													
X1_000026	scaffold_1:363061-363961	+	299	hypothetical protein		ENOG41											
X1_000027	scaffold_1:378329-380716	+	732	hypothetical protein		ENOG41											
X1_000028	scaffold_1:415069-417059	+	610	hypothetical protein													
X1_000029	scaffold_1:417917-422944	+	1329	glutamate dehydrogenase (NADP(+)) gdh1													
X1_000030	scaffold_1:424027-435934	-	2972	hypothetical protein													
X1_000031	scaffold_1:437371-439762	-	796	hypothetical protein													
X1_000032	scaffold_1:440175-441696	+	490	hypothetical protein													
X1_000033	scaffold_1:442070-442781	-	236	hypothetical protein		ENOG41											
X1_000034	scaffold_1:443286-444798	-	358	hypothetical protein		ENOG41											
X1_000035	scaffold_1:446115-447220	-	306	Prohibitin-2, subunit of the prohibitin complex (Phb1p-Phb2p)													
X1_000036	scaffold_1:447952-449067	+	330	hypothetical protein													
X1_000037	scaffold_1:449373-451589	-	437	hypothetical protein		ENOG41											
X1_000038	scaffold_1:453340-455718	+	710	hypothetical protein													
X1_000039	scaffold_1:457122-458235	+	370	hypothetical protein		ENOG41											
X1_000040	scaffold_1:459373-462512	-	1030	hypothetical protein		ENOG41											
X1_000041	scaffold_1:463155-465681	+	435	hypothetical protein													
X1_000042	scaffold_1:467324-470539	+	989	hypothetical protein		ENOG41											
X1_000043	scaffold_1:471243-474447	+	1027	hypothetical protein		ENOG41											
X1_000044	scaffold_1:475435-476152	-	183	Small subunit (SSU) processome component													
X1_000045	scaffold_1:476417-477197	+	241	hypothetical protein													
X1_000046	scaffold_1:477698-483414	-	1474	hypothetical protein		ENOG41											
X1_000047	scaffold_1:484190-485242	+	303	hypothetical protein													
X1_000048	scaffold_1:485358-487302	-	607	hypothetical protein		ENOG41											
X1_000049	scaffold_1:487638-488754	+	334	hypothetical protein		ENOG41											
X1_000050	scaffold_1:489770-491915	+	470	hypothetical protein		ENOG41											
X1_000051	scaffold_1:494663-495219	-	148	hypothetical protein													
X1_000052	scaffold_1:495844-497695	+	616	hypothetical protein		ENOG41											
X1_000053	scaffold_1:498488-503064	+	907	hypothetical protein		ENOG41											
X1_000054	scaffold_1:503513-505779	-	652	Fimbrin, actin-bundling protein													
X1_000055	scaffold_1:506429-507514	-	343	hypothetical protein		ENOG41											
X1_000056	scaffold_1:507961-514959	-	1924	hypothetical protein													
X1_000057	scaffold_1:517129-520057	+	975	hypothetical protein													
X1_000058	scaffold_1:521086-521965	-	275	hypothetical protein		ENOG41											
X1_000059	scaffold_1:525006-527143	+	567	hypothetical protein		ENOG41											
X1_000060	scaffold_1:527520-528835	-	388	hypothetical protein													
X1_000061	scaffold_1:529023-532133	+	992	hypothetical protein													
X1_000062	scaffold_1:532411-534202	-	537	hypothetical protein													
X1_000063	scaffold_1:536410-539072	+	815	hypothetical protein													
X1_000064	scaffold_1:539799-540962	-	297	hypothetical protein													
X1_000065	scaffold_1:542566-546258	-	1192	hypothetical protein		ENOG41											
X1_000066	scaffold_1:551124-551910	-	261	hypothetical protein													
X1_000067	scaffold_1:553390-556442	-	589	hypothetical protein													
X1_000068	scaffold_1:556820-559140	+	670	hypothetical protein													
X1_000069	scaffold_1:559762-560740	-	325	hypothetical protein		ENOG41											
X1_000070	scaffold_1:562052-568833	+	2104	hypothetical protein		ENOG41											
X1_000071	scaffold_1:569868-571491	+	540	hypothetical protein		ENOG41											
X1_000072	scaffold_1:571868-573598	-	515	hypothetical protein		ENOG41											
X1_000073	scaffold_1:574173-576776	-	558	hypothetical protein		ENOG41											
X1_000074	scaffold_1:578377-579882	+	430	hypothetical protein		ENOG41											
X1_000075	scaffold_1:580175-584638	-	1360	hypothetical protein													
X1_000076	scaffold_1:585362-587078	-	571	hypothetical protein		ENOG41											
X1_000077	scaffold_1:588242-591864	-	1064	hypothetical protein		ENOG41											
X1_000078	scaffold_1:596806-598205	-	414	hypothetical protein													
X1_000079	scaffold_1:598959-600506	-	450	hypothetical protein													
X1_000080	scaffold_1:601310-602817	+	467	hypothetical protein													
X1_000081	scaffold_1:606140-608408	-	721	hypothetical protein													
X1_000082	scaffold_1:611929-612710	+	242	Ras GTPase ras2													
X1_000083	scaffold_1:614485-615502	-	291	hypothetical protein													
X1_000084	scaffold_1:618276-622125	+	1282	hypothetical protein		ENOG41											
X1_000085	scaffold_1:623920-624349	+	142	hypothetical protein													
X1_000086	scaffold_1:633246-633885	-	212	hypothetical protein													
X1_000087	scaffold_1:637450-643008	-	1674	hypothetical protein		ENOG41											
X1_000088	scaffold_1:643957-646499	+	828	hypothetical protein		ENOG41											
X1_000089	scaffold_1:646744-647035	-	96	hypothetical protein													
X1_000090	scaffold_1:647217-649259	-	644	hypothetical protein		ENOG41											
X1_000091	scaffold_1:651864-652460	+	140	hypothetical protein													
X1_000092	scaffold_1:653518-654358	-	259	hypothetical protein													
X1_000093	scaffold_1:655545-656578	-	299	hypothetical protein		ENOG41											
X1_000094	scaffold_1:658182-661476	-	827	hypothetical protein													
X1_000095	scaffold_1:667913-669734	-	539	hypothetical protein		ENOG41											
X1_000096	scaffold_1:670873-672675	-	530	Cytochrome B translational activator protein cbs2													
X1_000097	scaffold_1:673988-674585	+	198	hypothetical protein													
X1_000098	scaffold_1:674840-675503	-	220	hypothetical protein													
X1_000099	scaffold_1:675787-677545	+	585	hypothetical protein													
X1_000100	scaffold_1:678294-678576	+	93	hypothetical protein													
X1_000101	scaffold_1:680008-681589	+	526	hypothetical protein		ENOG41											
X1_000102	scaffold_1:681898-683599	-	547	hypothetical protein		ENOG41											
X1_000103	scaffold_1:683900-686091	+	693	hypothetical protein		ENOG41											
X1_000104	scaffold_1:687878-690097	+	621	hypothetical protein													
X1_000105	scaffold_1:690372-690669	-	98	hypothetical protein													
X1_000106	scaffold_1:691110-699780	+	1792	hypothetical protein													
X1_000107	scaffold_1:700598-707729	-	2156	hypothetical protein													
X1_000108	scaffold_1:708796-710148	-	415	hypothetical protein													
X1_000109	scaffold_1:710871-717119	+	1391	hypothetical protein		ENOG41											
X1_000110	scaffold_1:717511-718081	-	189	hypothetical protein													
X1_000111	scaffold_1:718294-719739	+	209	hypothetical protein													
X1_000112	scaffold_1:719827-721888	+	667	hypothetical protein													
X1_000113	scaffold_1:722542-723793	-	416	hypothetical protein		ENOG41											
X1_000114	scaffold_1:724232-724664	+	85	6-phosphogluconate dehydrogenase, decarboxylating													
X1_000115	scaffold_1:724703-726120	+	432	phosphogluconate dehydrogenase (decarboxylating) gnd1													
X1_000116	scaffold_1:726631-727306	+	224	hypothetical protein													
X1_000117	scaffold_1:727501-728485	+	310	hypothetical protein													
X1_000118	scaffold_1:729573-730461	+	235	hypothetical protein		ENOG41											
X1_000119	scaffold_1:730876-732853	-	601	hypothetical protein													
X1_000120	scaffold_1:733130-736952	+	1227	hypothetical protein													
X1_000121	scaffold_1:737997-740031	-	677	hypothetical protein		ENOG41											
X1_000122	scaffold_1:742796-743730	+	264	hypothetical protein													
X1_000123	scaffold_1:744144-747226	-	994	hypothetical protein													
X1_000124	scaffold_1:749400-751303	+	563	hypothetical protein													
X1_000125	scaffold_1:752789-753561	+	218	hypothetical protein													
X1_000126	scaffold_1:754996-757795	+	875	hypothetical protein													
X1_000127	scaffold_1:758186-758791	+	112	hypothetical protein													
X1_000128	scaffold_1:758937-760084	-	364	hypothetical protein													
X1_000129	scaffold_1:760534-761924	+	427	hypothetical protein													
X1_000130	scaffold_1:764390-766531	+	571	hypothetical protein													
X1_000131	scaffold_1:766742-767085	+	96	hypothetical protein													
X1_000132	scaffold_1:767990-770224	+	619	hypothetical protein		ENOG41											
X1_000133	scaffold_1:770347-772923	-	766	hypothetical protein													
X1_000134	scaffold_1:773173-774753	+	485	hypothetical protein													
X1_000135	scaffold_1:774983-781158	-	1832	hypothetical protein													
X1_000136	scaffold_1:784123-785845	+	535	hypothetical protein													
X1_000137	scaffold_1:786342-787146	+	267	hypothetical protein		ENOG41											
X1_000138	scaffold_1:787736-789865	-	424	hypothetical protein													
X1_000139	scaffold_1:790443-790764	+	106	hypothetical protein		ENOG41											
X1_000140	scaffold_1:790968-793619	-	865	hypothetical protein													
X1_000141	scaffold_1:794198-796268	-	546	hypothetical protein													
X1_000142	scaffold_1:797912-800341	-	790	hypothetical protein													
X1_000143	scaffold_1:800709-801217	-	151	hypothetical protein		ENOG41											
X1_000144	scaffold_1:804149-807650	+	947	hypothetical protein													
X1_000145	scaffold_1:808202-809250	+	296	hypothetical protein													
X1_000146	scaffold_1:809490-810835	-	430	hypothetical protein		ENOG41											
X1_000147	scaffold_1:811155-813443	+	562	hypothetical protein		ENOG41											
X1_000148	scaffold_1:813911-818301	-	703	hypothetical protein													
X1_000149	scaffold_1:818777-820511	-	577	hypothetical protein													
X1_000150	scaffold_1:821175-824499	-	1089	hypothetical protein													
X1_000151	scaffold_1:824894-825733	+	237	hypothetical protein		ENOG41											
X1_000152	scaffold_1:827927-829754	+	608	hypothetical protein		ENOG41											
X1_000153	scaffold_1:830613-843627	-	3179	hypothetical protein													
X1_000154	scaffold_1:844849-845615	-	189	hypothetical protein		ENOG41											
X1_000155	scaffold_1:847675-849552	-	610	hypothetical protein		ENOG41											
X1_000156	scaffold_1:850081-850923	+	237	hypothetical protein		ENOG41											
X1_000157	scaffold_1:851388-854226	-	945	hypothetical protein													
X1_000158	scaffold_1:856095-857350	-	361	hypothetical protein													
X1_000159	scaffold_1:858053-860643	-	552	hypothetical protein													
X1_000160	scaffold_1:861430-863950	+	787	hypothetical protein													
X1_000161	scaffold_1:864257-870335	-	1305	hypothetical protein		ENOG41											
X1_000162	scaffold_1:876692-878149	-	426	hypothetical protein													
X1_000163	scaffold_1:878833-880873	+	661	hypothetical protein		ENOG41											
X1_000164	scaffold_1:881549-882665	-	265	hypothetical protein													
X1_000165	scaffold_1:883102-884706	+	519	T-complex protein 1 subunit epsilon													
X1_000166	scaffold_1:885426-886845	+	472	hypothetical protein		ENOG41											
X1_000167	scaffold_1:888802-889609	-	268	hypothetical protein													
X1_000168	scaffold_1:899918-901149	+	341	Alternative oxidase, mitochondrial precursor		ENOG41											
X1_000169	scaffold_1:902187-903535	+	392	hypothetical protein		ENOG41											
X1_000170	scaffold_1:904118-905486	-	455	hypothetical protein													
X1_000171	scaffold_1:906571-908239	-	538	hypothetical protein													
X1_000172	scaffold_1:908724-909942	+	405	hypothetical protein													
X1_000173	scaffold_1:910505-913076	-	856	hypothetical protein		ENOG41											
X1_000174	scaffold_1:914440-917644	+	1067	hypothetical protein		ENOG41											
X1_000175	scaffold_1:918188-919085	+	298	hypothetical protein													
X1_000176	scaffold_1:919254-921378	-	635	hypothetical protein													
X1_000177	scaffold_1:921633-927331	+	1863	hypothetical protein		ENOG41											
X1_000178	scaffold_1:927966-929240	+	344	hypothetical protein		ENOG41											
X1_000179	scaffold_1:930216-930517	-	74	hypothetical protein													
X1_000180	scaffold_1:931377-933015	+	545	hypothetical protein		ENOG41											
X1_000181	scaffold_1:934511-935006	-	164	hypothetical protein													
X1_000182	scaffold_1:943281-945346	+	668	hypothetical protein		ENOG41											
X1_000183	scaffold_1:945543-947144	-	494	hypothetical protein		ENOG41											
X1_000184	scaffold_1:947584-949672	+	675	hypothetical protein		ENOG41											
X1_000185	scaffold_1:950062-951352	+	310	hypothetical protein													
X1_000186	scaffold_1:951592-954973	-	1086	hypothetical protein													
X1_000187	scaffold_1:955449-957915	+	766	Vacuolar protein-sorting-associated protein 27													
X1_000188	scaffold_1:958327-961175	+	762	hypothetical protein													
X1_000189	scaffold_1:962008-963346	-	445	hypothetical protein		ENOG41											
X1_000190	scaffold_1:964326-966531	+	698	hypothetical protein													
X1_000191	scaffold_1:967268-968567	-	432	hypothetical protein		ENOG41											
X1_000192	scaffold_1:969068-970245	+	355	hypothetical protein		ENOG41											
X1_000193	scaffold_1:971644-972745	+	325	hypothetical protein													
X1_000194	scaffold_1:973433-974769	-	330	hypothetical protein													
X1_000195	scaffold_1:976237-978082	-	540	hypothetical protein		ENOG41											
X1_000196	scaffold_1:979996-981588	+	443	hypothetical protein													
X1_000197	scaffold_1:983788-985750	-	549	hypothetical protein		ENOG41											
X1_000198	scaffold_1:987592-989453	-	558	hypothetical protein													
X1_000199	scaffold_1:989858-994888	+	1452	hypothetical protein													
X1_000200	scaffold_1:996336-998215	-	593	hypothetical protein		ENOG41											
X1_000201	scaffold_1:999661-1000540	-	257	hypothetical protein		ENOG41											
X1_000202	scaffold_1:1073541-1075465	-	554	hypothetical protein		ENOG41											
X1_000203	scaffold_1:1075746-1076050	+	68	40S ribosomal protein S28													
X1_000204	scaffold_1:1077964-1079575	-	517	hypothetical protein		ENOG41											
X1_000205	scaffold_1:1080077-1083036	-	895	hypothetical protein		ENOG41											
X1_000206	scaffold_1:1084201-1085288	-	324	Cell division control protein 2													
X1_000207	scaffold_1:1085810-1086932	+	373	hypothetical protein													
X1_000208	scaffold_1:1087358-1089513	+	563	hypothetical protein													
X1_000209	scaffold_1:1089908-1090788	-	240	hypothetical protein		ENOG41											
X1_000210	scaffold_1:1094558-1095851	+	430	hypothetical protein		ENOG41											
X1_000211	scaffold_1:1095999-1097095	-	275	hypothetical protein													
X1_000212	scaffold_1:1097275-1097898	+	169	hypothetical protein		ENOG41											
X1_000213	scaffold_1:1102381-1104305	-	593	hypothetical protein		ENOG41											
X1_000214	scaffold_1:1105487-1107031	+	473	NuA4 histone acetyltransferase subunit													
X1_000215	scaffold_1:1107377-1109221	-	514	hypothetical protein													
X1_000216	scaffold_1:1110906-1112382	-	411	hypothetical protein													
X1_000217	scaffold_1:1113037-1117249	+	1252	hypothetical protein		ENOG41											
X1_000218	scaffold_1:1117809-1120459	-	865	hypothetical protein													
X1_000219	scaffold_1:1122314-1123205	-	277	proteasome core particle subunit beta 2													
X1_000220	scaffold_1:1123733-1128114	+	1442	hypothetical protein													
