GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X7_000001	scaffold_1:3532-6668	-	1029	hypothetical protein		ENOG41											
X7_000002	scaffold_1:7022-7895	+	262	hypothetical protein		ENOG41											
X7_000003	scaffold_1:8444-8897	-	150	hypothetical protein													
X7_000004	scaffold_1:9159-14551	+	1112	hypothetical protein		ENOG41											
X7_000005	scaffold_1:15223-18427	+	991	hypothetical protein		ENOG41											
X7_000006	scaffold_1:19448-20150	-	183	Small subunit (SSU) processome component													
X7_000007	scaffold_1:20496-21330	+	259	hypothetical protein													
X7_000008	scaffold_1:21821-23395	-	440	hypothetical protein													
X7_000009	scaffold_1:23899-27548	-	1023	hypothetical protein		ENOG41											
X7_000010	scaffold_1:27795-28830	+	303	hypothetical protein													
X7_000011	scaffold_1:28947-30891	-	607	hypothetical protein		ENOG41											
X7_000012	scaffold_1:31223-32336	+	333	hypothetical protein		ENOG41											
X7_000013	scaffold_1:33341-35562	+	492	hypothetical protein		ENOG41											
X7_000014	scaffold_1:37780-38372	-	110	60S ribosomal protein L30													
X7_000015	scaffold_1:39002-40847	+	614	hypothetical protein		ENOG41											
X7_000016	scaffold_1:41638-46251	+	759	hypothetical protein		ENOG41											
X7_000017	scaffold_1:46357-48609	-	651	Fimbrin, actin-bundling protein													
X7_000018	scaffold_1:49317-50402	-	343	hypothetical protein		ENOG41											
X7_000019	scaffold_1:50819-53287	-	800	hypothetical protein		ENOG41											
X7_000020	scaffold_1:54262-57830	-	1171	hypothetical protein													
X7_000021	scaffold_1:60025-62965	+	979	hypothetical protein													
X7_000022	scaffold_1:63985-64870	-	294	hypothetical protein		ENOG41											
X7_000023	scaffold_1:66568-67891	-	385	hypothetical protein													
X7_000024	scaffold_1:68220-71201	+	944	hypothetical protein													
X7_000025	scaffold_1:71472-73256	-	535	hypothetical protein													
X7_000026	scaffold_1:75410-78079	+	811	hypothetical protein													
X7_000027	scaffold_1:79038-79950	-	303	hypothetical protein													
X7_000028	scaffold_1:81581-84526	-	943	hypothetical protein		ENOG41											
X7_000029	scaffold_1:87584-88433	-	282	hypothetical protein													
X7_000030	scaffold_1:89739-92818	-	589	hypothetical protein													
X7_000031	scaffold_1:93291-95499	+	625	hypothetical protein													
X7_000032	scaffold_1:96204-97857	+	550	hypothetical protein		ENOG41											
X7_000033	scaffold_1:98159-99889	-	515	hypothetical protein		ENOG41											
X7_000034	scaffold_1:102372-106820	-	1359	hypothetical protein													
X7_000035	scaffold_1:107534-109235	-	566	hypothetical protein		ENOG41											
X7_000036	scaffold_1:110421-114055	-	1121	hypothetical protein		ENOG41											
X7_000037	scaffold_1:119524-120933	-	415	hypothetical protein													
X7_000038	scaffold_1:121169-123507	-	698	hypothetical protein													
X7_000039	scaffold_1:126704-127491	+	244	Ras GTPase ras2													
X7_000040	scaffold_1:129269-130289	-	339	hypothetical protein													
X7_000041	scaffold_1:132316-136384	+	1355	hypothetical protein		ENOG41											
X7_000042	scaffold_1:137405-137840	+	144	hypothetical protein													
X7_000043	scaffold_1:140421-141283	+	250	hypothetical protein		ENOG41											
X7_000044	scaffold_1:146248-148746	-	790	hypothetical protein		ENOG41											
X7_000045	scaffold_1:152646-153484	-	258	hypothetical protein													
X7_000046	scaffold_1:154558-156020	-	425	hypothetical protein		ENOG41											
X7_000047	scaffold_1:157211-168158	-	1332	hypothetical protein													
X7_000048	scaffold_1:169300-171102	-	530	Cytochrome B translational activator protein cbs2													
X7_000049	scaffold_1:172412-173009	+	198	hypothetical protein													
X7_000050	scaffold_1:173265-174018	-	250	hypothetical protein													
X7_000051	scaffold_1:174210-175968	+	585	hypothetical protein													
X7_000052	scaffold_1:178462-180112	+	549	hypothetical protein		ENOG41											
X7_000053	scaffold_1:180446-182252	-	582	hypothetical protein		ENOG41											
X7_000054	scaffold_1:182422-184609	+	693	hypothetical protein		ENOG41											
X7_000055	scaffold_1:186727-188585	+	512	hypothetical protein													
X7_000056	scaffold_1:189921-195299	+	959	hypothetical protein													
X7_000057	scaffold_1:195671-195974	-	100	hypothetical protein													
X7_000058	scaffold_1:196297-198643	+	781	hypothetical protein													
X7_000059	scaffold_1:199475-206616	-	2156	hypothetical protein													
X7_000060	scaffold_1:207771-209123	-	415	hypothetical protein													
X7_000061	scaffold_1:209745-213948	+	887	hypothetical protein		ENOG41											
X7_000062	scaffold_1:214367-215988	+	466	hypothetical protein		ENOG41											
X7_000063	scaffold_1:216424-216985	-	186	hypothetical protein													
X7_000064	scaffold_1:217145-217545	+	103	hypothetical protein													
X7_000065	scaffold_1:217931-218357	+	141	hypothetical protein													
X7_000066	scaffold_1:218464-220525	+	686	hypothetical protein													
X7_000067	scaffold_1:221178-222432	-	417	hypothetical protein		ENOG41											
X7_000068	scaffold_1:222849-225995	+	694	phosphogluconate dehydrogenase (decarboxylating) gnd1													
X7_000069	scaffold_1:226190-227175	+	301	hypothetical protein													
X7_000070	scaffold_1:228173-229060	+	235	hypothetical protein		ENOG41											
X7_000071	scaffold_1:229474-231478	-	610	hypothetical protein													
X7_000072	scaffold_1:231752-235567	+	1225	hypothetical protein													
X7_000073	scaffold_1:236665-238696	-	676	hypothetical protein		ENOG41											
X7_000074	scaffold_1:241532-242462	+	272	hypothetical protein													
X7_000075	scaffold_1:242877-245960	-	994	hypothetical protein													
X7_000076	scaffold_1:252617-261400	+	1835	hypothetical protein													
X7_000077	scaffold_1:261546-262698	-	366	hypothetical protein													
X7_000078	scaffold_1:263184-264580	+	429	hypothetical protein													
X7_000079	scaffold_1:266053-266574	-	153	hypothetical protein		ENOG41											
X7_000080	scaffold_1:267064-269165	+	512	hypothetical protein													
X7_000081	scaffold_1:271487-272834	+	374	hypothetical protein		ENOG41											
X7_000082	scaffold_1:272952-274982	-	639	hypothetical protein													
X7_000083	scaffold_1:275691-277326	+	512	hypothetical protein													
X7_000084	scaffold_1:277555-280171	-	820	hypothetical protein		ENOG41											
X7_000085	scaffold_1:280575-283750	-	1005	hypothetical protein													
X7_000086	scaffold_1:287735-290742	+	765	hypothetical protein													
X7_000087	scaffold_1:291356-293692	-	498	hypothetical protein													
X7_000088	scaffold_1:294160-294542	+	106	hypothetical protein		ENOG41											
X7_000089	scaffold_1:294642-297292	-	865	hypothetical protein													
X7_000090	scaffold_1:297838-299910	-	547	hypothetical protein													
X7_000091	scaffold_1:301521-303791	-	737	hypothetical protein													
X7_000092	scaffold_1:304386-304892	-	134	hypothetical protein		ENOG41											
X7_000093	scaffold_1:307620-312711	+	1226	hypothetical protein													
X7_000094	scaffold_1:313293-314649	-	451	hypothetical protein		ENOG41											
X7_000095	scaffold_1:315040-317325	+	584	hypothetical protein		ENOG41											
X7_000096	scaffold_1:317739-318594	-	225	hypothetical protein													
X7_000097	scaffold_1:319170-321931	-	628	hypothetical protein													
X7_000098	scaffold_1:322401-324135	-	577	hypothetical protein		ENOG41											
X7_000099	scaffold_1:324800-328106	-	1083	hypothetical protein													
X7_000100	scaffold_1:328500-329250	+	229	hypothetical protein													
X7_000101	scaffold_1:330927-332802	+	624	hypothetical protein		ENOG41											
X7_000102	scaffold_1:333574-346734	-	3192	hypothetical protein													
X7_000103	scaffold_1:347877-349906	-	333	hypothetical protein		ENOG41											
X7_000104	scaffold_1:369314-370156	+	237	hypothetical protein		ENOG41											
