GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X5_000001	scaffold_1:62533-63064	-	136	hypothetical protein													
X5_000002	scaffold_1:70882-72551	+	516	hypothetical protein													
X5_000003	scaffold_1:77762-78453	-	208	hypothetical protein		ENOG41											
X5_000004	scaffold_1:78511-79242	-	225	hypothetical protein		ENOG41											
X5_000005	scaffold_1:80258-83114	+	689	hypothetical protein		ENOG41											
X5_000006	scaffold_1:84712-86421	+	551	hypothetical protein		ENOG41											
X5_000007	scaffold_1:88779-89112	-	71	TFIIH complex subunit tfb5													
X5_000008	scaffold_1:90444-93182	-	874	hypothetical protein		ENOG41											
X5_000009	scaffold_1:93483-94860	+	458	hypothetical protein		ENOG41											
X5_000010	scaffold_1:95884-96601	+	238	hypothetical protein													
X5_000011	scaffold_1:97201-98335	-	326	hypothetical protein													
X5_000012	scaffold_1:99896-102727	-	921	hypothetical protein		ENOG41											
X5_000013	scaffold_1:104012-105336	-	422	hypothetical protein		ENOG41											
X5_000014	scaffold_1:105685-107109	+	427	hypothetical protein		ENOG41											
X5_000015	scaffold_1:107359-109889	-	365	cross-pathway control WD-repeat protein cpc2													
X5_000016	scaffold_1:110224-110646	+	118	hypothetical protein		ENOG41											
X5_000017	scaffold_1:111204-117027	-	755	hypothetical protein		ENOG41											
X5_000018	scaffold_1:118137-119969	+	557	hypothetical protein		ENOG41											
X5_000019	scaffold_1:120525-121544	+	321	hypothetical protein													
X5_000020	scaffold_1:121989-123648	+	552	hypothetical protein		ENOG41											
X5_000021	scaffold_1:124313-127859	+	1134	hypothetical protein		ENOG41											
X5_000022	scaffold_1:128356-129676	-	320	hypothetical protein		ENOG41											
X5_000023	scaffold_1:129996-132055	-	571	acid phosphatase pho5													
X5_000024	scaffold_1:133801-134149	+	95	hypothetical protein		ENOG41											
X5_000025	scaffold_1:134964-138667	-	1132	hypothetical protein													
X5_000026	scaffold_1:139167-140046	+	292	hypothetical protein		ENOG41											
X5_000027	scaffold_1:140520-142400	-	610	hypothetical protein													
X5_000028	scaffold_1:142867-144171	+	380	hypothetical protein													
X5_000029	scaffold_1:145149-147078	-	610	hypothetical protein													
X5_000030	scaffold_1:147991-148512	+	133	hypothetical protein		ENOG41											
X5_000031	scaffold_1:148785-149592	-	268	hypothetical protein													
