GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X3_000001	scaffold_1:158-728	-	189	hypothetical protein													
X3_000002	scaffold_1:763-1369	-	201	hypothetical protein													
X3_000003	scaffold_1:1889-2822	-	310	hypothetical protein													
X3_000004	scaffold_1:2921-5086	+	603	hypothetical protein		ENOG41											
X3_000005	scaffold_1:5245-9167	-	1071	hypothetical protein		ENOG41											
X3_000006	scaffold_1:9275-10946	+	556	hypothetical protein													
X3_000007	scaffold_1:11018-12902	+	627	hypothetical protein		ENOG41											
X3_000008	scaffold_1:12961-14906	+	588	hypothetical protein		ENOG41											
X3_000009	scaffold_1:15121-17928	-	920	hypothetical protein													
X3_000010	scaffold_1:17982-18712	-	222	hypothetical protein													
X3_000013	scaffold_1:19098-19795	+	208	hypothetical protein		ENOG41											
X3_000014	scaffold_1:19872-20972	-	340	hypothetical protein		ENOG41											
X3_000015	scaffold_1:21115-22132	+	338	hypothetical protein													
X3_000016	scaffold_1:22273-23119	-	281	hypothetical protein		ENOG41											
X3_000017	scaffold_1:23135-24968	-	610	hypothetical protein													
X3_000018	scaffold_1:25009-27291	+	741	hypothetical protein													
X3_000019	scaffold_1:27357-30269	-	929	hypothetical protein													
X3_000020	scaffold_1:30412-31924	+	503	hypothetical protein													
X3_000021	scaffold_1:31939-33673	-	577	hypothetical protein													
X3_000022	scaffold_1:33696-35286	-	529	hypothetical protein													
X3_000023	scaffold_1:35300-36368	-	355	hypothetical protein		ENOG41											
X3_000024	scaffold_1:36489-37605	+	371	hypothetical protein													
X3_000025	scaffold_1:37686-40476	-	879	hypothetical protein		ENOG41											
X3_000026	scaffold_1:40770-46590	+	1848	hypothetical protein													
X3_000027	scaffold_1:46645-47524	-	292	hypothetical protein		ENOG41											
X3_000028	scaffold_1:47755-50779	+	968	hypothetical protein		ENOG41											
X3_000029	scaffold_1:50871-57080	+	1946	hypothetical protein													
X3_000030	scaffold_1:57083-62391	-	1656	hypothetical protein													
X3_000031	scaffold_1:62428-63604	+	374	hypothetical protein													
X3_000032	scaffold_1:63733-64618	-	294	hypothetical protein													
X3_000033	scaffold_1:64690-65479	+	262	hypothetical protein		ENOG41											
X3_000034	scaffold_1:65603-66827	-	407	hypothetical protein		ENOG41											
X3_000035	scaffold_1:66879-67356	+	158	hypothetical protein		ENOG41											
X3_000036	scaffold_1:67358-68111	-	250	hypothetical protein													
X3_000037	scaffold_1:68172-69908	+	554	hypothetical protein		ENOG41											
X3_000038	scaffold_1:70052-71503	+	468	hypothetical protein													
X3_000039	scaffold_1:71512-74235	-	852	hypothetical protein		ENOG41											
X3_000040	scaffold_1:74262-75228	+	321	hypothetical protein													
X3_000041	scaffold_1:75237-78902	-	1125	hypothetical protein													
X3_000042	scaffold_1:79064-79499	+	144	hypothetical protein		ENOG41											
X3_000043	scaffold_1:79529-84669	+	1579	hypothetical protein													
X3_000044	scaffold_1:84688-86541	-	532	hypothetical protein													
X3_000045	scaffold_1:86591-89299	+	871	hypothetical protein													
X3_000046	scaffold_1:89339-90710	+	456	hypothetical protein													
X3_000047	scaffold_1:90714-92481	-	588	hypothetical protein		ENOG41											
X3_000048	scaffold_1:92566-100365	-	2470	hypothetical protein													
X3_000049	scaffold_1:100415-100973	-	185	hypothetical protein													
X3_000050	scaffold_1:101124-102159	+	344	hypothetical protein		ENOG41											
X3_000051	scaffold_1:102185-102599	-	137	hypothetical protein		ENOG41											
X3_000052	scaffold_1:102777-103170	+	130	hypothetical protein		ENOG41											
X3_000053	scaffold_1:103221-104073	+	283	hypothetical protein													
X3_000054	scaffold_1:104251-105641	+	419	hypothetical protein		ENOG41											
X3_000055	scaffold_1:105687-106966	-	390	hypothetical protein													
X3_000056	scaffold_1:107122-108040	+	305	hypothetical protein		ENOG41											
X3_000057	scaffold_1:108220-110614	-	783	hypothetical protein													
X3_000058	scaffold_1:110662-112371	+	538	hypothetical protein													
X3_000059	scaffold_1:112416-114198	+	593	hypothetical protein													
X3_000060	scaffold_1:114200-114851	-	216	hypothetical protein													
X3_000061	scaffold_1:114893-127727	+	3950	hypothetical protein													
X3_000062	scaffold_1:127786-132553	+	1511	hypothetical protein													
X3_000063	scaffold_1:132610-136165	-	1131	hypothetical protein		ENOG41											
X3_000064	scaffold_1:136225-137069	+	264	hypothetical protein		ENOG41											
X3_000065	scaffold_1:137136-140689	-	1167	hypothetical protein		ENOG41											
X3_000066	scaffold_1:140724-143237	+	821	hypothetical protein		ENOG41											
X3_000067	scaffold_1:143418-145563	-	714	hypothetical protein													
X3_000068	scaffold_1:145606-146860	-	417	hypothetical protein													
X3_000069	scaffold_1:146925-147981	-	351	hypothetical protein		ENOG41											
X3_000070	scaffold_1:148022-153028	+	1612	hypothetical protein													
X3_000071	scaffold_1:153225-154563	-	445	hypothetical protein													
X3_000072	scaffold_1:154581-155567	-	304	hypothetical protein		ENOG41											
X3_000073	scaffold_1:155631-161178	-	1791	hypothetical protein													
X3_000074	scaffold_1:161427-161967	-	179	hypothetical protein													
X3_000075	scaffold_1:162310-163519	-	402	hypothetical protein													
X3_000076	scaffold_1:163554-164655	-	366	hypothetical protein													
X3_000077	scaffold_1:165178-165382	+	67	hypothetical protein													
X3_000078	scaffold_1:165459-166506	-	348	hypothetical protein		ENOG41											
X3_000079	scaffold_1:166601-167354	-	250	hypothetical protein		ENOG41											
X3_000080	scaffold_1:167400-168915	+	489	hypothetical protein		ENOG41											
X3_000081	scaffold_1:169051-172217	-	804	hypothetical protein													
X3_000083	scaffold_1:172580-173192	-	203	hypothetical protein		ENOG41											
X3_000084	scaffold_1:173251-174418	-	388	hypothetical protein		ENOG41											
X3_000085	scaffold_1:174514-175477	+	320	hypothetical protein													
X3_000086	scaffold_1:175566-176253	+	228	hypothetical protein		ENOG41											
X3_000087	scaffold_1:176290-177229	+	312	hypothetical protein		ENOG41											
X3_000088	scaffold_1:177232-179448	-	622	hypothetical protein		ENOG41											
X3_000089	scaffold_1:179532-184473	+	1475	hypothetical protein		ENOG41											
X3_000090	scaffold_1:184539-185694	-	384	hypothetical protein													
X3_000091	scaffold_1:185772-186246	+	157	hypothetical protein													
X3_000092	scaffold_1:186289-190176	-	1216	hypothetical protein													
X3_000093	scaffold_1:190231-191125	-	297	hypothetical protein													
X3_000094	scaffold_1:191189-191630	-	146	hypothetical protein		ENOG41											
X3_000095	scaffold_1:191681-193304	-	540	hypothetical protein		ENOG41											
X3_000096	scaffold_1:193445-194405	-	319	hypothetical protein		ENOG41											
X3_000097	scaffold_1:194418-200111	-	1837	hypothetical protein		ENOG41											
X3_000098	scaffold_1:200287-201580	+	430	hypothetical protein													
X3_000099	scaffold_1:201597-204788	-	1020	hypothetical protein													
X3_000100	scaffold_1:204940-206427	+	439	hypothetical protein													
X3_000101	scaffold_1:206451-209159	-	806	hypothetical protein													
X3_000102	scaffold_1:209437-213297	+	1202	hypothetical protein													
X3_000103	scaffold_1:213350-218067	-	1508	hypothetical protein		ENOG41											
X3_000104	scaffold_1:218236-224837	+	2040	hypothetical protein													
X3_000105	scaffold_1:224884-226356	+	473	hypothetical protein		ENOG41											
X3_000106	scaffold_1:226439-227707	+	405	hypothetical protein		ENOG41											
X3_000107	scaffold_1:227722-230936	-	995	hypothetical protein		ENOG41											
X3_000108	scaffold_1:231113-232077	+	261	hypothetical protein		ENOG41											
X3_000109	scaffold_1:232500-233208	-	235	hypothetical protein		ENOG41											
X3_000110	scaffold_1:233466-237957	+	1408	hypothetical protein													
X3_000111	scaffold_1:237969-246187	-	2598	hypothetical protein													
X3_000112	scaffold_1:246345-251788	-	1773	hypothetical protein													
X3_000113	scaffold_1:251893-255958	+	1321	hypothetical protein													
X3_000114	scaffold_1:256057-256582	+	174	hypothetical protein													
X3_000115	scaffold_1:256600-260519	-	1268	hypothetical protein													
X3_000116	scaffold_1:260573-263186	-	870	hypothetical protein													
X3_000117	scaffold_1:263297-265290	-	645	hypothetical protein													
X3_000118	scaffold_1:265316-266750	-	477	hypothetical protein													
X3_000119	scaffold_1:266884-267820	+	311	hypothetical protein													
X3_000120	scaffold_1:267821-268352	-	176	hypothetical protein													
X3_000121	scaffold_1:268501-270108	-	508	hypothetical protein													
