GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X4_000001	scaffold_1:22182-23101	+	247	hypothetical protein													
X4_000002	scaffold_1:26282-27942	+	462	hypothetical protein		ENOG41											
X4_000003	scaffold_1:31287-33411	-	657	hypothetical protein		ENOG41											
X4_000004	scaffold_1:35226-35712	+	161	hypothetical protein													
X4_000005	scaffold_1:37122-38524	-	313	hypothetical protein													
X4_000006	scaffold_1:41319-42108	+	213	hypothetical protein													
X4_000007	scaffold_1:42759-46337	-	1071	hypothetical protein													
X4_000008	scaffold_1:47739-48938	+	345	hypothetical protein		ENOG41											
X4_000009	scaffold_1:49270-51368	-	488	hypothetical protein		ENOG41											
X4_000010	scaffold_1:54682-56681	+	592	hypothetical protein		ENOG41											
X4_000011	scaffold_1:57598-58519	+	261	hypothetical protein		ENOG41											
X4_000012	scaffold_1:59294-61232	+	645	hypothetical protein		ENOG41											
X4_000013	scaffold_1:63016-63628	+	203	hypothetical protein													
X4_000014	scaffold_1:63985-65189	+	308	hypothetical protein													
X4_000015	scaffold_1:66519-67986	-	488	hypothetical protein		ENOG41											
X4_000016	scaffold_1:69556-71236	-	484	hypothetical protein		ENOG41											
X4_000017	scaffold_1:71690-72539	+	237	hypothetical protein		ENOG41											
X4_000018	scaffold_1:73636-76705	+	946	hypothetical protein		ENOG41											
X4_000019	scaffold_1:78189-78685	+	129	hypothetical protein													
X4_000020	scaffold_1:78837-80117	-	352	hypothetical protein		ENOG41											
X4_000021	scaffold_1:80483-81368	-	260	hypothetical protein		ENOG41											
X4_000022	scaffold_1:81990-82984	+	286	hypothetical protein		ENOG41											
X4_000023	scaffold_1:83161-83853	-	210	hypothetical protein													
X4_000024	scaffold_1:85216-89260	+	562	hypothetical protein		ENOG41											
X4_000025	scaffold_1:90528-91379	+	251	hypothetical protein		ENOG41											
X4_000026	scaffold_1:91624-92496	-	255	hypothetical protein		ENOG41											
X4_000027	scaffold_1:94253-96269	+	671	hypothetical protein		ENOG41											
X4_000028	scaffold_1:97394-100688	+	1097	hypothetical protein													
X4_000029	scaffold_1:102881-104432	-	443	hypothetical protein		ENOG41											
X4_000030	scaffold_1:107806-108517	+	219	hypothetical protein													
X4_000031	scaffold_1:109635-110524	-	253	hypothetical protein													
X4_000032	scaffold_1:111965-113963	+	665	hypothetical protein		ENOG41											
X4_000033	scaffold_1:115598-116693	-	364	hypothetical protein		ENOG41											
X4_000034	scaffold_1:117198-118446	-	415	hypothetical protein													
X4_000035	scaffold_1:118923-121085	-	616	hypothetical protein		ENOG41											
X4_000036	scaffold_1:121590-122609	+	265	hypothetical protein		ENOG41											
X4_000037	scaffold_1:123646-125607	+	529	hypothetical protein													
X4_000038	scaffold_1:126221-128899	-	763	hypothetical protein		ENOG41											
X4_000039	scaffold_1:133049-137491	+	1262	hypothetical protein													
X4_000040	scaffold_1:137950-139648	-	565	hypothetical protein													
X4_000041	scaffold_1:140421-140934	-	170	hypothetical protein													
X4_000042	scaffold_1:141332-142112	-	259	hypothetical protein		ENOG41											
X4_000043	scaffold_1:143185-147341	-	1200	hypothetical protein		ENOG41											
X4_000044	scaffold_1:147981-148698	-	220	hypothetical protein													
X4_000045	scaffold_1:154008-155307	+	432	hypothetical protein		ENOG41											
X4_000046	scaffold_1:157434-158082	-	156	hypothetical protein													
X4_000048	scaffold_1:160157-160748	+	196	hypothetical protein													
X4_000049	scaffold_1:162329-163671	-	415	hypothetical protein		ENOG41											
X4_000050	scaffold_1:164197-166963	-	825	AAA ATPase cdc48													
X4_000051	scaffold_1:168494-169063	-	134	hypothetical protein													
X4_000052	scaffold_1:169993-171785	+	504	hypothetical protein													
X4_000053	scaffold_1:174759-187282	-	1915	hypothetical protein													
X4_000054	scaffold_1:187746-188744	-	297	hypothetical protein		ENOG41											
X4_000055	scaffold_1:189361-190804	-	480	hypothetical protein		ENOG41											
X4_000056	scaffold_1:191256-192071	-	140	60S ribosomal protein L23A													
X4_000057	scaffold_1:192802-193315	-	170	hypothetical protein													
X4_000058	scaffold_1:197718-198344	+	185	hypothetical protein		ENOG41											
X4_000059	scaffold_1:199209-201506	+	684	hypothetical protein		ENOG41											
X4_000060	scaffold_1:201902-204665	-	435	hypothetical protein		ENOG41											
X4_000061	scaffold_1:205947-207704	+	524	hypothetical protein		ENOG41											
X4_000062	scaffold_1:207914-208868	-	317	hypothetical protein													
X4_000063	scaffold_1:212167-213847	-	559	hypothetical protein		ENOG41											
X4_000064	scaffold_1:214926-215334	-	135	hypothetical protein		ENOG41											
X4_000065	scaffold_1:215806-217539	-	549	hypothetical protein		ENOG41											
X4_000066	scaffold_1:218789-221594	-	934	hypothetical protein		ENOG41											
X4_000067	scaffold_1:223330-224314	-	309	hypothetical protein		ENOG41											
X4_000068	scaffold_1:224983-225714	-	208	hypothetical protein		ENOG41											
X4_000069	scaffold_1:227242-228284	-	329	hypothetical protein		ENOG41											
X4_000070	scaffold_1:230531-231434	+	206	hypothetical protein		ENOG41											
X4_000071	scaffold_1:235614-236184	+	171	hypothetical protein		ENOG41											
X4_000072	scaffold_1:236373-237934	-	457	hypothetical protein		ENOG41											
X4_000073	scaffold_1:240211-243658	+	983	hypothetical protein													
X4_000074	scaffold_1:257733-258498	-	254	hypothetical protein		ENOG41											
X4_000075	scaffold_1:258929-260797	+	600	hypothetical protein													
X4_000076	scaffold_1:261216-263424	-	652	histone deacetylase													
X4_000077	scaffold_1:263818-265001	+	332	multicatalytic endopeptidase													
X4_000078	scaffold_1:266602-267055	+	150	hypothetical protein													
X4_000079	scaffold_1:268168-270022	+	617	hypothetical protein		ENOG41											
X4_000080	scaffold_1:271642-274455	+	604	hypothetical protein		ENOG41											
X4_000081	scaffold_1:275395-276750	+	365	hypothetical protein		ENOG41											
X4_000082	scaffold_1:277784-280061	+	758	hypothetical protein		ENOG41											
X4_000083	scaffold_1:280755-281502	+	248	hypothetical protein													
X4_000084	scaffold_1:292821-294149	-	427	hypothetical protein													
X4_000085	scaffold_1:294502-297954	+	1039	hypothetical protein		ENOG41											
X4_000086	scaffold_1:300065-301379	+	420	hypothetical protein													
X4_000087	scaffold_1:302200-303769	+	462	hypothetical protein		ENOG41											
X4_000088	scaffold_1:307846-308986	+	379	hypothetical protein													
X4_000089	scaffold_1:309970-311842	-	594	hypothetical protein													
X4_000090	scaffold_1:312565-313186	+	206	hypothetical protein													
X4_000091	scaffold_1:313983-314454	+	156	hypothetical protein													
X4_000092	scaffold_1:316321-318905	+	714	hypothetical protein		ENOG41											
