GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X6_000001	scaffold_1:1427-1754	-	108	hypothetical protein													
X6_000002	scaffold_1:3923-7210	+	343	hypothetical protein													
X6_000003	scaffold_1:10990-12166	+	391	hypothetical protein													
X6_000004	scaffold_1:12540-14133	-	454	hypothetical protein													
X6_000005	scaffold_1:14320-15283	+	320	hypothetical protein													
X6_000006	scaffold_1:15745-17790	-	562	hypothetical protein		ENOG41											
X6_000007	scaffold_1:18535-21648	+	986	hypothetical protein													
X6_000008	scaffold_1:22017-24584	-	736	hypothetical protein		ENOG41											
X6_000009	scaffold_1:25031-27232	+	705	translation termination factor GTPase eRF3													
X6_000010	scaffold_1:28067-29268	+	382	hypothetical protein		ENOG41											
X6_000011	scaffold_1:29619-30609	+	302	hypothetical protein		ENOG41											
X6_000012	scaffold_1:30925-34600	+	1138	hypothetical protein													
X6_000013	scaffold_1:35654-36653	-	297	hypothetical protein													
X6_000014	scaffold_1:37530-39597	+	654	hypothetical protein													
X6_000015	scaffold_1:39968-41032	-	298	hypothetical protein													
X6_000016	scaffold_1:41276-42674	+	465	hypothetical protein		ENOG41											
X6_000017	scaffold_1:45351-49916	+	1017	hypothetical protein													
X6_000018	scaffold_1:50288-52626	-	742	hypothetical protein													
X6_000019	scaffold_1:52986-56375	+	1111	hypothetical protein													
X6_000020	scaffold_1:56396-62136	-	1438	hypothetical protein													
X6_000021	scaffold_1:62752-64498	-	581	hypothetical protein		ENOG41											
X6_000022	scaffold_1:66993-67977	-	309	hypothetical protein		ENOG41											
X6_000023	scaffold_1:68916-72325	+	1012	hypothetical protein		ENOG41											
X6_000024	scaffold_1:72474-73778	-	385	hypothetical protein		ENOG41											
X6_000025	scaffold_1:92033-92933	-	299	hypothetical protein		ENOG41											
X6_000026	scaffold_1:93456-95899	+	745	hypothetical protein													
X6_000027	scaffold_1:96349-98388	-	586	hypothetical protein													
X6_000028	scaffold_1:98680-100273	-	530	hypothetical protein		ENOG41											
X6_000029	scaffold_1:100803-101718	+	304	hypothetical protein		ENOG41											
X6_000030	scaffold_1:101859-102566	-	174	hypothetical protein													
X6_000031	scaffold_1:118812-119587	-	202	hypothetical protein													
X6_000032	scaffold_1:120339-123332	-	921	hypothetical protein		ENOG41											
X6_000033	scaffold_1:124040-125703	-	499	hypothetical protein		ENOG41											
X6_000034	scaffold_1:126216-128143	-	527	hypothetical protein													
X6_000035	scaffold_1:128958-131027	-	581	hypothetical protein		ENOG41											
X6_000036	scaffold_1:131555-133591	+	643	ERMES complex Ca(2+)-binding regulatory GTPase gem1													
X6_000037	scaffold_1:134054-135236	-	316	hypothetical protein													
X6_000038	scaffold_1:136311-137951	+	474	hypothetical protein													
X6_000039	scaffold_1:138352-139992	-	491	hypothetical protein													
X6_000040	scaffold_1:140689-144955	-	1373	hypothetical protein		ENOG41											
X6_000041	scaffold_1:146682-149024	+	693	hypothetical protein													
X6_000042	scaffold_1:149919-152255	+	633	ESCRT-0 subunit protein hse1													
X6_000043	scaffold_1:152769-153587	-	140	hypothetical protein		ENOG41											
X6_000044	scaffold_1:154285-160131	-	1858	hypothetical protein													
X6_000045	scaffold_1:161080-161899	+	272	hypothetical protein													
X6_000046	scaffold_1:163203-164244	+	346	hypothetical protein		ENOG41											
X6_000047	scaffold_1:164350-165349	-	290	hypothetical protein		ENOG41											
X6_000048	scaffold_1:165577-167473	+	597	hypothetical protein													
X6_000049	scaffold_1:168258-171123	-	905	hypothetical protein		ENOG41											
X6_000050	scaffold_1:171735-172656	+	306	hypothetical protein													
X6_000051	scaffold_1:172981-173900	-	251	hypothetical protein													
X6_000052	scaffold_1:174131-176016	+	582	hypothetical protein													
X6_000053	scaffold_1:176663-176996	-	110	hypothetical protein		ENOG41											
X6_000054	scaffold_1:180415-181890	+	287	hypothetical protein		ENOG41											
X6_000055	scaffold_1:182786-183724	-	215	hypothetical protein													
X6_000056	scaffold_1:184034-186066	+	621	hypothetical protein													
X6_000057	scaffold_1:188117-190733	-	774	hypothetical protein		ENOG41											
X6_000058	scaffold_1:191696-196416	+	1138	hypothetical protein													
X6_000059	scaffold_1:196718-197032	-	79	hypothetical protein													
X6_000060	scaffold_1:197932-198789	-	244	hypothetical protein		ENOG41											
X6_000061	scaffold_1:199233-202931	+	998	hypothetical protein		ENOG41											
X6_000062	scaffold_1:203234-206105	+	956	hypothetical protein		ENOG41											
X6_000063	scaffold_1:206228-207463	-	324	hypothetical protein													
X6_000064	scaffold_1:207707-208397	+	229	hypothetical protein													
X6_000065	scaffold_1:208697-210095	-	465	hypothetical protein													
X6_000066	scaffold_1:210653-212447	+	581	hypothetical protein													
X6_000067	scaffold_1:213084-217481	-	1447	hypothetical protein													
X6_000068	scaffold_1:217614-218953	+	369	proteasome core particle subunit beta 2													
X6_000069	scaffold_1:220677-223316	+	862	hypothetical protein													
X6_000070	scaffold_1:223886-227478	-	1178	hypothetical protein		ENOG41											
X6_000071	scaffold_1:231980-233825	+	514	hypothetical protein													
X6_000072	scaffold_1:234158-235699	-	473	NuA4 histone acetyltransferase subunit													
X6_000073	scaffold_1:236814-238753	+	592	hypothetical protein		ENOG41											
X6_000074	scaffold_1:245121-248466	-	643	hypothetical protein		ENOG41											
X6_000075	scaffold_1:252234-253114	+	250	hypothetical protein		ENOG41											
X6_000076	scaffold_1:253583-255531	-	558	hypothetical protein													
X6_000077	scaffold_1:257569-258678	+	324	Cell division control protein 2													
X6_000078	scaffold_1:259822-262763	+	895	hypothetical protein		ENOG41											
X6_000079	scaffold_1:263232-264837	+	515	hypothetical protein		ENOG41											
X6_000080	scaffold_1:266449-266756	-	68	40S ribosomal protein S28													
X6_000081	scaffold_1:267038-269852	+	669	hypothetical protein		ENOG41											
X6_000082	scaffold_1:270313-271741	+	347	hypothetical protein		ENOG41											
X6_000083	scaffold_1:272395-275935	-	1179	hypothetical protein													
X6_000084	scaffold_1:276298-278134	+	551	hypothetical protein													
X6_000085	scaffold_1:279795-281840	+	572	hypothetical protein		ENOG41											
X6_000086	scaffold_1:283799-284634	+	242	hypothetical protein													
X6_000087	scaffold_1:285341-286442	-	325	hypothetical protein													
X6_000088	scaffold_1:287942-289119	-	355	hypothetical protein		ENOG41											
X6_000089	scaffold_1:289612-290911	+	432	hypothetical protein		ENOG41											
X6_000090	scaffold_1:291665-293867	-	677	hypothetical protein													
X6_000091	scaffold_1:295902-298745	-	857	hypothetical protein													
X6_000092	scaffold_1:299143-301592	-	741	Vacuolar protein-sorting-associated protein 27													
X6_000093	scaffold_1:302050-305447	+	1090	hypothetical protein													
X6_000094	scaffold_1:305785-307009	-	280	hypothetical protein													
X6_000095	scaffold_1:307404-309473	-	669	hypothetical protein		ENOG41											
X6_000096	scaffold_1:309886-311465	+	506	hypothetical protein		ENOG41											
X6_000097	scaffold_1:311686-313758	-	670	hypothetical protein		ENOG41											
X6_000098	scaffold_1:321603-322098	+	164	hypothetical protein													
X6_000099	scaffold_1:323930-325517	-	528	hypothetical protein		ENOG41											
X6_000100	scaffold_1:326383-326675	+	74	hypothetical protein													
X6_000101	scaffold_1:327227-328004	-	115	hypothetical protein		ENOG41											
X6_000102	scaffold_1:328332-328722	-	129	hypothetical protein													
X6_000103	scaffold_1:329821-335519	-	1844	hypothetical protein		ENOG41											
X6_000104	scaffold_1:335692-337894	+	630	hypothetical protein													
X6_000105	scaffold_1:338024-338867	-	280	hypothetical protein													
X6_000106	scaffold_1:339408-342624	-	1071	hypothetical protein		ENOG41											
X6_000107	scaffold_1:344035-346606	+	856	hypothetical protein		ENOG41											
X6_000108	scaffold_1:347152-348397	-	414	hypothetical protein													
X6_000109	scaffold_1:348871-350539	+	538	hypothetical protein													
X6_000110	scaffold_1:351470-352796	+	441	hypothetical protein													
X6_000111	scaffold_1:353148-356936	-	829	hypothetical protein		ENOG41											
X6_000112	scaffold_1:357617-358430	+	270	hypothetical protein													
X6_000113	scaffold_1:359266-360721	+	484	hypothetical protein		ENOG41											
X6_000114	scaffold_1:361033-362870	-	548	T-complex protein 1 subunit epsilon													
X6_000115	scaffold_1:363327-364429	+	303	hypothetical protein													
X6_000116	scaffold_1:365082-367029	-	648	hypothetical protein		ENOG41											
X6_000117	scaffold_1:368156-370138	+	575	hypothetical protein													
X6_000118	scaffold_1:375276-381039	+	1307	hypothetical protein		ENOG41											
X6_000119	scaffold_1:381394-383924	-	740	hypothetical protein													
X6_000120	scaffold_1:384574-388762	+	891	hypothetical protein													
X6_000121	scaffold_1:388830-389483	-	184	hypothetical protein		ENOG41											
X6_000122	scaffold_1:390215-393053	+	945	hypothetical protein													
X6_000123	scaffold_1:393505-394345	-	237	hypothetical protein		ENOG41											
X6_000124	scaffold_1:394899-396770	+	608	hypothetical protein		ENOG41											
X6_000125	scaffold_1:398827-399627	+	189	hypothetical protein		ENOG41											
X6_000126	scaffold_1:400807-413546	+	3157	hypothetical protein													
X6_000127	scaffold_1:414309-416151	-	595	hypothetical protein		ENOG41											
X6_000128	scaffold_1:419869-420619	-	229	hypothetical protein		ENOG41											
X6_000129	scaffold_1:420843-424384	+	1161	hypothetical protein													
X6_000130	scaffold_1:425030-426764	+	577	hypothetical protein													
X6_000131	scaffold_1:427262-430083	+	661	hypothetical protein		ENOG41											
X6_000132	scaffold_1:430697-431658	+	252	hypothetical protein													
X6_000133	scaffold_1:432079-434359	-	575	hypothetical protein		ENOG41											
X6_000134	scaffold_1:434700-436058	+	427	hypothetical protein		ENOG41											
X6_000135	scaffold_1:436244-437227	-	305	hypothetical protein													
X6_000136	scaffold_1:437737-441248	-	917	hypothetical protein													
X6_000137	scaffold_1:443798-447105	+	868	hypothetical protein													
X6_000138	scaffold_1:448591-457001	+	1844	hypothetical protein													
X6_000139	scaffold_1:457354-458479	-	317	hypothetical protein		ENOG41											
X6_000140	scaffold_1:459118-460693	-	491	hypothetical protein													
X6_000141	scaffold_1:463278-469475	+	1872	hypothetical protein													
X6_000142	scaffold_1:469674-471241	-	485	hypothetical protein													
X6_000143	scaffold_1:472019-474049	+	639	hypothetical protein													
X6_000144	scaffold_1:474168-475493	-	358	hypothetical protein		ENOG41											
X6_000145	scaffold_1:476661-477924	-	420	hypothetical protein													
X6_000146	scaffold_1:478581-479102	+	153	hypothetical protein		ENOG41											
X6_000147	scaffold_1:480679-482115	-	443	hypothetical protein													
X6_000148	scaffold_1:482543-483691	+	363	hypothetical protein													
X6_000149	scaffold_1:483836-484467	-	112	hypothetical protein													
X6_000150	scaffold_1:484890-487685	-	873	hypothetical protein													
X6_000151	scaffold_1:488997-489766	-	219	hypothetical protein													
X6_000152	scaffold_1:490620-492522	-	562	hypothetical protein													
X6_000153	scaffold_1:494734-497824	+	994	hypothetical protein													
X6_000154	scaffold_1:498195-499115	-	263	hypothetical protein													
X6_000155	scaffold_1:501888-503916	+	675	hypothetical protein		ENOG41											
X6_000156	scaffold_1:505226-509078	-	1237	hypothetical protein													
X6_000157	scaffold_1:509368-511412	+	629	hypothetical protein													
X6_000158	scaffold_1:511827-512717	-	235	hypothetical protein		ENOG41											
X6_000159	scaffold_1:513457-515310	-	584	hypothetical protein													
X6_000160	scaffold_1:515899-517783	-	524	phosphogluconate dehydrogenase (decarboxylating) gnd1													
X6_000161	scaffold_1:518228-519482	+	417	hypothetical protein		ENOG41											
X6_000162	scaffold_1:520108-523260	-	827	hypothetical protein													
X6_000163	scaffold_1:523724-524294	+	189	hypothetical protein													
X6_000164	scaffold_1:524725-526291	-	469	hypothetical protein		ENOG41											
X6_000165	scaffold_1:526986-531139	-	880	hypothetical protein		ENOG41											
X6_000166	scaffold_1:531178-533170	+	447	hypothetical protein													
X6_000167	scaffold_1:534442-541590	+	2152	hypothetical protein													
X6_000168	scaffold_1:542643-544989	-	781	hypothetical protein													
X6_000169	scaffold_1:545342-545645	+	100	hypothetical protein													
X6_000170	scaffold_1:546239-548891	-	654	hypothetical protein													
X6_000171	scaffold_1:549996-551461	-	355	hypothetical protein		ENOG41											
X6_000172	scaffold_1:552422-554249	-	511	hypothetical protein													
