GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X8_000001	scaffold_1:119156-120968	-	436	2-oxoglutarate dehydrogenase complex E2 component													
X8_000002	scaffold_1:121439-121957	+	99	hypothetical protein													
X8_000003	scaffold_1:122494-123097	-	135	hypothetical protein													
X8_000004	scaffold_1:123425-123861	+	127	hypothetical protein													
X8_000005	scaffold_1:123916-124234	+	68	histone H2B													
X8_000006	scaffold_1:124685-126180	-	446	Cysteine protease atg4													
X8_000007	scaffold_1:126972-129385	+	766	hypothetical protein		ENOG41											
X8_000008	scaffold_1:129801-131433	-	525	hypothetical protein													
X8_000009	scaffold_1:185392-187314	+	583	hypothetical protein													
X8_000010	scaffold_1:187472-188470	-	293	hypothetical protein		ENOG41											
X8_000011	scaffold_1:188906-190172	-	421	hypothetical protein													
X8_000012	scaffold_1:191815-195776	+	1266	hypothetical protein													
X8_000013	scaffold_1:196209-199842	-	1017	hypothetical protein													
X8_000014	scaffold_1:200751-202962	+	618	hypothetical protein													
X8_000015	scaffold_1:203568-205146	-	422	hypothetical protein		ENOG41											
X8_000016	scaffold_1:207340-208690	+	430	hypothetical protein													
X8_000017	scaffold_1:209086-210867	+	574	hypothetical protein		ENOG41											
X8_000018	scaffold_1:211260-212622	-	194	hypothetical protein													
X8_000019	scaffold_1:212659-214614	+	617	Translation factor guf1 mitochondrial													
X8_000020	scaffold_1:215436-220082	+	1460	hypothetical protein													
X8_000021	scaffold_1:220487-223332	-	914	hypothetical protein													
X8_000022	scaffold_1:224174-225386	-	230	hypothetical protein													
X8_000023	scaffold_1:226504-227855	-	395	Elongation of fatty acids protein 2													
X8_000024	scaffold_1:228252-229678	+	390	hypothetical protein													
X8_000025	scaffold_1:230218-233957	+	714	hypothetical protein													
X8_000026	scaffold_1:234574-236836	-	696	hypothetical protein													
X8_000027	scaffold_1:237696-239528	-	479	hypothetical protein		ENOG41											
X8_000028	scaffold_1:240222-240903	-	226	hypothetical protein		ENOG41											
X8_000029	scaffold_1:241415-244592	-	995	hypothetical protein													
X8_000030	scaffold_1:245129-246137	+	276	hypothetical protein													
X8_000031	scaffold_1:246616-248992	-	583	hypothetical protein													
X8_000032	scaffold_1:250082-251833	-	531	DExD/H-box ATP-dependent RNA helicase dhh1													
X8_000033	scaffold_1:252989-255410	+	659	hypothetical protein		ENOG41											
X8_000034	scaffold_1:255856-256897	+	346	hypothetical protein													
X8_000035	scaffold_1:257292-259879	-	262	hypothetical protein		ENOG41											
X8_000036	scaffold_1:274297-274795	-	135	hypothetical protein		ENOG41											
X8_000037	scaffold_1:276052-277294	+	413	hypothetical protein		ENOG41											
X8_000038	scaffold_1:278072-279368	+	378	hypothetical protein		ENOG41											
X8_000039	scaffold_1:281562-284003	-	697	hypothetical protein		ENOG41											
X8_000040	scaffold_1:284788-286017	+	300	hypothetical protein		ENOG41											
X8_000041	scaffold_1:289293-290412	+	229	hypothetical protein													
X8_000042	scaffold_1:293266-296158	-	762	hypothetical protein		ENOG41											
X8_000043	scaffold_1:296770-298688	+	550	hypothetical protein		ENOG41											
X8_000044	scaffold_1:300218-301693	+	451	hypothetical protein		ENOG41											
X8_000045	scaffold_1:302231-304643	-	769	hypothetical protein		ENOG41											
X8_000046	scaffold_1:305101-309439	+	1403	hypothetical protein													
X8_000047	scaffold_1:310563-311037	-	157	hypothetical protein													
X8_000048	scaffold_1:311419-312127	+	235	hypothetical protein													
X8_000049	scaffold_1:312263-313220	-	318	hypothetical protein													
X8_000050	scaffold_1:313546-314610	+	315	hypothetical protein													
X8_000051	scaffold_1:314849-315830	-	305	hypothetical protein		ENOG41											
X8_000052	scaffold_1:316107-317049	-	281	hypothetical protein													
X8_000053	scaffold_1:321418-323402	+	626	hypothetical protein													
X8_000054	scaffold_1:324250-326861	+	817	hypothetical protein													
X8_000055	scaffold_1:328471-330978	+	773	hypothetical protein													
X8_000056	scaffold_1:331847-334760	-	589	hypothetical protein													
X8_000057	scaffold_1:336364-339661	-	945	hypothetical protein		ENOG41											
X8_000058	scaffold_1:339745-341415	+	499	hypothetical protein													
