GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X9_000001	scaffold_1:69503-71421	-	422	argininosuccinate synthetase													
X9_000002	scaffold_1:74556-76515	-	616	Flap-structured DNA-binding and RNA-binding protein		ENOG41											
X9_000003	scaffold_1:77535-81001	+	1030	hypothetical protein													
X9_000004	scaffold_1:113636-117486	+	933	GTPase-activating protein S23													
X9_000005	scaffold_1:118786-123976	+	1686	hypothetical protein		ENOG41											
X9_000006	scaffold_1:129240-130179	+	312	hypothetical protein													
X9_000007	scaffold_1:132114-133924	+	584	hypothetical protein													
X9_000008	scaffold_1:149079-153234	+	782	hypothetical protein		ENOG41											
X9_000009	scaffold_1:155405-160712	-	1175	hypothetical protein													
X9_000010	scaffold_1:247434-251907	+	649	hypothetical protein		ENOG41											
X9_000011	scaffold_1:254404-255238	-	277	hypothetical protein		ENOG41											
X9_000012	scaffold_1:257097-259657	-	796	hypothetical protein													
X9_000013	scaffold_1:260025-261225	+	338	hypothetical protein		ENOG41											
X9_000014	scaffold_1:262852-268079	+	1723	hypothetical protein		ENOG41											
X9_000015	scaffold_1:268761-270084	-	405	hypothetical protein													
X9_000016	scaffold_1:271319-271766	+	148	hypothetical protein													
X9_000017	scaffold_1:272108-273173	+	354	Fizzy- protein													
X9_000018	scaffold_1:273664-275032	+	306	hypothetical protein													
X9_000019	scaffold_1:275251-276600	-	412	hypothetical protein													
X9_000020	scaffold_1:277098-277998	+	299	hypothetical protein		ENOG41											
X9_000021	scaffold_1:278618-280571	-	650	hypothetical protein													
X9_000022	scaffold_1:281380-285459	-	1263	hypothetical protein													
X9_000023	scaffold_1:285808-287451	+	530	hypothetical protein		ENOG41											
X9_000024	scaffold_1:288260-289992	+	560	hypothetical protein		ENOG41											
X9_000025	scaffold_1:290396-292143	+	548	hypothetical protein													
X9_000026	scaffold_1:293011-293646	-	193	hypothetical protein		ENOG41											
X9_000027	scaffold_1:294665-296875	+	682	hypothetical protein													
X9_000028	scaffold_1:297150-297851	-	180	hypothetical protein													
X9_000029	scaffold_1:298323-299560	+	393	hypothetical protein		ENOG41											
X9_000030	scaffold_1:299597-300853	-	396	hypothetical protein		ENOG41											
X9_000031	scaffold_1:301333-302578	+	397	hypothetical protein		ENOG41											
X9_000032	scaffold_1:302927-305040	+	568	hypothetical protein													
X9_000033	scaffold_1:305211-305920	-	165	hypothetical protein													
X9_000034	scaffold_1:306134-307871	+	578	hypothetical protein													
X9_000035	scaffold_1:308355-311626	+	1025	hypothetical protein													
X9_000036	scaffold_1:312014-313158	-	286	hypothetical protein													
X9_000037	scaffold_1:313519-320133	-	2147	hypothetical protein													
X9_000038	scaffold_1:320598-321143	+	163	hypothetical protein		ENOG41											
X9_000039	scaffold_1:324089-327037	+	963	hypothetical protein		ENOG41											
X9_000040	scaffold_1:328916-329967	-	335	hypothetical protein		ENOG41											
X9_000041	scaffold_1:330558-333629	+	958	hypothetical protein		ENOG41											
X9_000042	scaffold_1:335270-337100	-	226	hypothetical protein		ENOG41											
X9_000043	scaffold_1:337434-338133	+	232	hypothetical protein		ENOG41											
X9_000044	scaffold_1:338603-341070	-	772	hypothetical protein		ENOG41											
X9_000045	scaffold_1:342068-343068	-	309	hypothetical protein		ENOG41											
